Date,ROC,Numerical_Signal
2015-02-02,-3.8165190898031276,-1.0
2015-02-03,3.936409000054808,1.0
2015-02-04,3.4409326978453336,0.0
2015-02-05,4.759429593774733,0.0
2015-02-06,3.2000817745623467,0.0
2015-02-09,5.235654027759229,0.0
2015-02-10,6.963055579765665,0.0
2015-02-11,4.18605123507243,0.0
2015-02-12,5.288289753672726,0.0
2015-02-13,6.202121350050338,0.0
2015-02-17,5.842439535197497,0.0
2015-02-18,6.528425873111021,0.0
2015-02-19,7.702092948095873,0.0
2015-02-20,7.682773532116882,0.0
2015-02-23,3.0056162267998454,0.0
2015-02-24,-1.1813164057186687,-1.0
2015-02-25,-1.077779736240858,0.0
2015-02-26,3.922358176341456,1.0
2015-02-27,-0.9064367437878751,-1.0
2015-03-02,-3.0795695340670726,0.0
2015-03-03,-5.394901251375394,0.0
2015-03-04,-7.290708422893166,0.0
2015-03-05,-8.199498198426047,0.0
2015-03-06,-12.267527325461458,0.0
2015-03-09,-12.182559212286815,0.0
2015-03-10,-12.488507167751738,0.0
2015-03-11,-10.425815424272077,0.0
2015-03-12,-10.211471666160588,0.0
2015-03-13,-6.999211695672225,0.0
2015-03-16,-3.960348079645304,0.0
2015-03-17,-4.707604426990364,0.0
2015-03-18,-1.834099570482739,0.0
2015-03-19,-7.585852646577928,0.0
2015-03-20,-8.765145938064933,0.0
2015-03-23,-3.7185293867849967,0.0
2015-03-24,-1.1709364863691452,0.0
2015-03-25,-4.642717533791407,0.0
2015-03-26,-8.098846207832832,0.0
2015-03-27,-9.019377120370642,0.0
2015-03-30,-3.4257246762917526,0.0
2015-03-31,-5.406890411680642,0.0
2015-04-01,-7.3355120296797915,0.0
2015-04-02,-4.799882039661451,0.0
2015-04-06,4.755521097093429,1.0
2015-04-07,6.480513815025302,0.0
2015-04-08,9.116233719964285,0.0
2015-04-09,8.43913880464946,0.0
2015-04-10,10.378399373920066,0.0
2015-04-13,11.182955957714835,0.0
2015-04-14,6.009193283657477,0.0
2015-04-15,6.72726046591785,0.0
2015-04-16,2.984402856432977,0.0
2015-04-17,5.6938452397856,0.0
2015-04-20,3.6298508066306967,0.0
2015-04-21,4.899059121475524,0.0
2015-04-22,8.784448187217443,0.0
2015-04-23,12.506432884419239,0.0
2015-04-24,14.715613633139956,0.0
2015-04-27,25.16217167731032,0.0
2015-04-28,20.942426062406394,0.0
2015-04-29,23.13926665545114,0.0
2015-04-30,20.502160713726035,0.0
2015-05-01,18.340326487673963,0.0
2015-05-04,13.495815771533447,0.0
2015-05-05,14.612542541439954,0.0
2015-05-06,10.959692877118199,0.0
2015-05-07,12.713603886056134,0.0
2015-05-08,12.190609509787675,0.0
2015-05-11,14.162452176777073,0.0
2015-05-12,17.969730056979817,0.0
2015-05-13,17.00909324308233,0.0
2015-05-14,18.09385276610889,0.0
2015-05-15,20.334631347743226,0.0
2015-05-18,21.18184904149041,0.0
2015-05-19,18.017285546239382,0.0
2015-05-20,11.35163458956594,0.0
2015-05-21,12.360476864224502,0.0
2015-05-22,13.413905124011706,0.0
2015-05-26,6.871082040554866,0.0
2015-05-27,7.35421837980168,0.0
2015-05-28,8.1737928948044,0.0
2015-05-29,10.94890279989167,0.0
2015-06-01,10.36144541712638,0.0
2015-06-02,7.739364298353402,0.0
2015-06-03,6.8855962322187825,0.0
2015-06-04,6.722211789318822,0.0
2015-06-05,5.2111454240548305,0.0
2015-06-08,8.317486120816397,0.0
2015-06-09,6.893824256801806,0.0
2015-06-10,2.4352362436454333,0.0
2015-06-11,3.3843320461985016,0.0
2015-06-12,2.6997227937040513,0.0
2015-06-15,0.6188727265536098,0.0
2015-06-16,1.7567889923240543,0.0
2015-06-17,5.369424932529099,0.0
2015-06-18,7.1782224588942345,0.0
2015-06-19,6.876484340610611,0.0
2015-06-22,4.8681969572888395,0.0
2015-06-23,8.166979869248037,0.0
2015-06-24,7.169705508767321,0.0
2015-06-25,6.896004398318145,0.0
2015-06-26,6.495218224306254,0.0
2015-06-29,5.039093767350944,0.0
2015-06-30,8.016912003070797,0.0
2015-07-01,8.096710139493691,0.0
2015-07-02,13.866293480318316,0.0
2015-07-06,12.27422964021665,0.0
2015-07-07,4.522222352459848,0.0
2015-07-08,-0.40625406173037115,-1.0
2015-07-09,2.879944308766813,1.0
2015-07-10,3.078629362871932,0.0
2015-07-13,4.575365394120756,0.0
2015-07-14,6.098728034266454,0.0
2015-07-15,3.9586037818809094,0.0
2015-07-16,2.4077484602541332,0.0
2015-07-17,4.876094623398419,0.0
2015-07-20,7.523516711551226,0.0
2015-07-21,2.686789163110803,0.0
2015-07-22,0.07471345146752295,0.0
2015-07-23,0.7655505076786584,0.0
2015-07-24,-1.25748132681901,-1.0
2015-07-27,-5.271634899660138,0.0
2015-07-28,1.0686196716560792,1.0
2015-07-29,-1.6551186616308833,-1.0
2015-07-30,-0.8768347379966235,0.0
2015-07-31,-4.95321130987898,0.0
2015-08-03,-7.053487073591558,0.0
2015-08-04,-0.5972817719800738,0.0
2015-08-05,5.9499536441572465,1.0
2015-08-06,-4.571191568502043,-1.0
2015-08-07,-6.420990005574112,0.0
2015-08-10,-8.018001657944051,0.0
2015-08-11,-10.645579926635463,0.0
2015-08-12,-9.489247516420384,0.0
2015-08-13,-9.063299325340179,0.0
2015-08-14,-11.472372629221283,0.0
2015-08-17,-9.661309453701318,0.0
2015-08-18,-2.267873136037102,0.0
2015-08-19,-4.711240892751956,0.0
2015-08-20,-9.363778957283497,0.0
2015-08-21,-13.05150229304395,0.0
