Date,Price,Is_Reversal,Smoothed_Price,Signal,Numerical_Signal
2015-01-02,0.48306557536125183,False,0.5417774319648743,,0.0
2015-01-05,0.47490638494491577,False,0.5417774319648743,,0.0
2015-01-06,0.46050798892974854,False,0.5417774319648743,,0.0
2015-01-07,0.4593082368373871,False,0.5417774319648743,,0.0
2015-01-08,0.4765862226486206,False,0.5417774319648743,,0.0
2015-01-09,0.47850602865219116,False,0.5417774319648743,,0.0
2015-01-12,0.47250673174858093,False,0.5417774319648743,,0.0
2015-01-13,0.4717867374420166,False,0.5417774319648743,,0.0
2015-01-14,0.4737066626548767,False,0.5417774319648743,,0.0
2015-01-15,0.47034695744514465,False,0.5417774319648743,,0.0
2015-01-16,0.47898605465888977,False,0.5417774319648743,,0.0
2015-01-20,0.4804258644580841,False,0.5417774319648743,,0.0
2015-01-21,0.4871450364589691,False,0.5417774319648743,,0.0
2015-01-22,0.49554410576820374,False,0.5417774319648743,,0.0
2015-01-23,0.4969838559627533,False,0.5417774319648743,,0.0
2015-01-26,0.4948241114616394,False,0.5417774319648743,,0.0
2015-01-27,0.4710668623447418,False,0.5417774319648743,,0.0
2015-01-28,0.4633879065513611,False,0.5417774319648743,,0.0
2015-01-29,0.4746665060520172,False,0.5417774319648743,,0.0
2015-01-30,0.4607480764389038,False,0.5417774319648743,,0.0
2015-02-02,0.4708269238471985,False,0.5417774319648743,,0.0
2015-02-03,0.4825855493545532,False,0.5417774319648743,,0.0
2015-02-04,0.483785480260849,False,0.5417774319648743,,0.0
2015-02-05,0.4917047321796417,False,0.5417774319648743,,0.0
2015-02-06,0.48954492807388306,False,0.5417774319648743,,0.0
2015-02-09,0.4890648126602173,False,0.5417774319648743,,0.0
2015-02-10,0.5027433633804321,False,0.5417774319648743,,0.0
2015-02-11,0.49938374757766724,False,0.5417774319648743,,0.0
2015-02-12,0.5351396203041077,False,0.5417774319648743,,0.0
2015-02-13,0.5353795886039734,False,0.5417774319648743,,0.0
2015-02-17,0.537059485912323,False,0.5417774319648743,,0.0
2015-02-18,0.5308200716972351,False,0.5417774319648743,,0.0
2015-02-19,0.532260000705719,False,0.5417774319648743,,0.0
2015-02-20,0.5360996723175049,False,0.5417774319648743,,0.0
2015-02-23,0.5317800641059875,False,0.5417774319648743,,0.0
2015-02-24,0.5374410152435303,False,0.5417774319648743,,0.0
2015-02-25,0.5333458781242371,False,0.5417774319648743,,0.0
2015-02-26,0.5347914695739746,False,0.5417774319648743,,0.0
2015-02-27,0.5314187407493591,False,0.5417774319648743,,0.0
2015-03-02,0.5444273948669434,False,0.5417774319648743,,0.0
2015-03-03,0.5343093276023865,False,0.5417774319648743,,0.0
2015-03-04,0.540332019329071,False,0.5417774319648743,,0.0
2015-03-05,0.5506904721260071,False,0.5417774319648743,,0.0
2015-03-06,0.5432226657867432,False,0.5417774319648743,,0.0
2015-03-09,0.5446680784225464,False,0.5417774319648743,,0.0
2015-03-10,0.5540629029273987,False,0.5417774319648743,,0.0
2015-03-11,0.5511724352836609,False,0.5417774319648743,,0.0
2015-03-12,0.5461134910583496,False,0.5417774319648743,,0.0
2015-03-13,0.5468360781669617,False,0.5417774319648743,,0.0
2015-03-16,0.5533401966094971,False,0.5417774319648743,,0.0
2015-03-17,0.5600854158401489,False,0.5417774319648743,,0.0
2015-03-18,0.5509312748908997,False,0.5417774319648743,,0.0
2015-03-19,0.5593628287315369,False,0.5417774319648743,,0.0
2015-03-20,0.5653853416442871,False,0.5417774319648743,,0.0
2015-03-23,0.5470771193504333,False,0.5417774319648743,,0.0
2015-03-24,0.5396092534065247,False,0.5417774319648743,,0.0
2015-03-25,0.5068473815917969,False,0.5417774319648743,,0.0
2015-03-26,0.5051608681678772,False,0.5417774319648743,,0.0
2015-03-27,0.5150376558303833,False,0.5417774319648743,,0.0
2015-03-30,0.5172058343887329,False,0.5417774319648743,,0.0
2015-03-31,0.5041972994804382,False,0.5417774319648743,,0.0
2015-04-01,0.50612473487854,False,0.5417774319648743,,0.0
2015-04-02,0.5073290467262268,False,0.5417774319648743,,0.0
2015-04-06,0.5220237374305725,False,0.5417774319648743,,0.0
2015-04-07,0.5266008377075195,False,0.5417774319648743,,0.0
2015-04-08,0.5304549336433411,False,0.5417774319648743,,0.0
2015-04-09,0.5427408814430237,False,0.5417774319648743,,0.0
2015-04-10,0.5482814908027649,False,0.5417774319648743,,0.0
2015-04-13,0.5432226657867432,False,0.5417774319648743,,0.0
2015-04-14,0.5386454463005066,False,0.5417774319648743,,0.0
2015-04-15,0.5451499819755554,False,0.5417774319648743,,0.0
2015-04-16,0.5417774319648743,False,0.5417774319648743,,0.0
2015-04-17,0.5347914695739746,False,0.5417774319648743,,0.0
2015-04-20,0.5321412682533264,False,0.5417774319648743,,0.0
2015-04-21,0.5314187407493591,False,0.5417774319648743,,0.0
2015-04-22,0.5374410152435303,False,0.5417774319648743,,0.0
2015-04-23,0.5352731943130493,False,0.5417774319648743,,0.0
2015-04-24,0.5306960940361023,False,0.5417774319648743,,0.0
2015-04-27,0.5347914695739746,False,0.5417774319648743,,0.0
2015-04-28,0.5374410152435303,False,0.5417774319648743,,0.0
2015-04-29,0.5333458781242371,False,0.5417774319648743,,0.0
2015-04-30,0.5347914695739746,False,0.5417774319648743,,0.0
2015-05-01,0.5480407476425171,False,0.5417774319648743,,0.0
2015-05-04,0.5446680784225464,False,0.5417774319648743,,0.0
2015-05-05,0.5306960940361023,False,0.5417774319648743,,0.0
2015-05-06,0.5323823690414429,False,0.5417774319648743,,0.0
