Date,RSI,Numerical_Signal
2015-02-02,45.93298999803712,-1.0
2015-02-03,50.042663194750915,0.0
2015-02-04,50.44724146753765,0.0
2015-02-05,53.08668782261243,0.0
2015-02-06,52.28711159534602,0.0
2015-02-09,52.103552673727144,0.0
2015-02-10,56.66731841445711,0.0
2015-02-11,55.304897247749395,0.0
2015-02-12,64.78902370390998,0.0
2015-02-13,64.84168869534885,0.0
2015-02-17,65.22526535865362,0.0
2015-02-18,62.55711379375018,0.0
2015-02-19,62.92548385184888,0.0
2015-02-20,63.92197301120864,0.0
2015-02-23,61.95008545930771,0.0
2015-02-24,63.50320751912979,0.0
2015-02-25,61.588944421395276,0.0
2015-02-26,62.014353078154066,0.0
2015-02-27,60.37216791923963,0.0
2015-03-02,64.21923377271509,0.0
2015-03-03,59.49086610267833,0.0
2015-03-04,61.27722957370816,0.0
2015-03-05,64.14038990823573,0.0
2015-03-06,60.732645836921186,0.0
2015-03-09,61.153142923758786,0.0
2015-03-10,63.80506431653663,0.0
2015-03-11,62.424769178814444,0.0
2015-03-12,60.03253409355466,0.0
2015-03-13,60.26151845894331,0.0
2015-03-16,62.30751427086759,0.0
2015-03-17,64.31327850265933,0.0
2015-03-18,59.76960569432559,0.0
2015-03-19,62.348522820879225,0.0
2015-03-20,64.07978098946498,0.0
2015-03-23,55.860452520644856,0.0
2015-03-24,52.944553621712316,0.0
2015-03-25,42.660981901078586,0.0
2015-03-26,42.21673128996377,0.0
2015-03-27,45.70283495421563,0.0
2015-03-30,46.44948725267527,0.0
2015-03-31,42.73817758415214,0.0
2015-04-01,43.442870302880785,0.0
2015-04-02,43.89718724842193,0.0
2015-04-06,49.14250967573901,0.0
2015-04-07,50.655213579684336,0.0
2015-04-08,51.922663829321884,0.0
2015-04-09,55.73754782993095,0.0
2015-04-10,57.34426917914314,0.0
2015-04-13,55.41112358381865,0.0
2015-04-14,53.687441594770185,0.0
2015-04-15,55.74664587277319,0.0
2015-04-16,54.425766316152064,0.0
2015-04-17,51.75206769428106,0.0
2015-04-20,50.756510175991195,0.0
2015-04-21,50.47775633343242,0.0
2015-04-22,52.753974549561775,0.0
2015-04-23,51.85077631410491,0.0
2015-04-24,49.95047824156562,0.0
2015-04-27,51.620466791433735,0.0
2015-04-28,52.6955165218564,0.0
2015-04-29,50.85706593264438,0.0
2015-04-30,51.48588719866231,0.0
2015-05-01,56.81745616026085,0.0
2015-05-04,55.19226727642101,0.0
2015-05-05,49.071136317542624,0.0
2015-05-06,49.778822991193394,0.0
2015-05-07,53.56257915640293,0.0
2015-05-08,40.044742068585215,0.0
2015-05-11,38.802758846577625,0.0
2015-05-12,40.73751605618125,0.0
2015-05-13,41.89764473318386,0.0
2015-05-14,45.10285819828531,0.0
2015-05-15,45.19653431143673,0.0
2015-05-18,44.95443213041961,0.0
2015-05-19,43.8614915566952,0.0
2015-05-20,43.8614915566952,0.0
2015-05-21,42.5586685364394,0.0
2015-05-22,42.29419078865023,0.0
2015-05-26,41.12833140323031,0.0
2015-05-27,52.81764172062106,0.0
2015-05-28,55.3404565131361,0.0
2015-05-29,55.23688667900361,0.0
2015-06-01,57.33909925741484,0.0
2015-06-02,52.749525748002775,0.0
2015-06-03,50.43175213302,0.0
2015-06-04,53.89678424360155,0.0
2015-06-05,55.32955831763405,0.0
2015-06-08,50.384814369193144,0.0
2015-06-09,51.371532816487225,0.0
2015-06-10,47.82228689659271,0.0
2015-06-11,49.96803138796881,0.0
2015-06-12,44.9737462663622,0.0
2015-06-15,44.65518556184468,0.0
2015-06-16,47.21311901570928,0.0
2015-06-17,49.57231344671505,0.0
2015-06-18,52.771535033165684,0.0
2015-06-19,52.0950618883091,0.0
2015-06-22,51.2066964287842,0.0
2015-06-23,46.061927037724814,0.0
2015-06-24,44.304762190523405,0.0
2015-06-25,45.95811508255632,0.0
2015-06-26,42.39765856157087,0.0
2015-06-29,37.93688579943828,0.0
2015-06-30,37.86921995219649,0.0
2015-07-01,41.076520844302365,0.0
2015-07-02,41.29649709747641,0.0
2015-07-06,39.362758104170915,0.0
2015-07-07,36.61928972877014,0.0
2015-07-08,35.65555470422214,0.0
2015-07-09,34.03899518740714,0.0
2015-07-10,38.21619090670427,0.0
2015-07-13,39.75179366461573,0.0
2015-07-14,39.87277829736094,0.0
2015-07-15,38.72654797178696,0.0
2015-07-16,44.04793731507421,0.0
2015-07-17,42.976416008265076,0.0
2015-07-20,39.831654692074835,0.0
2015-07-21,40.93822516971854,0.0
2015-07-22,37.844870410091545,0.0
2015-07-23,40.81789161571691,0.0
2015-07-24,38.93900723093987,0.0
2015-07-27,38.05706154715413,0.0
2015-07-28,43.22519470530351,0.0
2015-07-29,45.93827599586546,0.0
2015-07-30,46.49895226384096,0.0
2015-07-31,45.79896761829845,0.0
2015-08-03,49.672502777292486,0.0
2015-08-04,50.54773336471249,0.0
2015-08-05,52.815415624465295,0.0
2015-08-06,51.283010859672544,0.0
2015-08-07,69.44411068206017,0.0
2015-08-10,72.81705109793573,0.0
2015-08-11,71.56963572214825,0.0
2015-08-12,71.82370023953091,0.0
2015-08-13,69.64027663180121,0.0
2015-08-14,69.73712186330064,0.0
2015-08-17,68.02407194163347,0.0
2015-08-18,65.6161747801805,0.0
2015-08-19,64.59436005638713,0.0
2015-08-20,56.11187648389937,0.0
2015-08-21,50.32838991555355,0.0
2015-08-24,44.95613495296179,0.0
2015-08-25,42.26893060866105,0.0
2015-08-26,52.82938655906301,0.0
2015-08-27,57.24192052498834,0.0
2015-08-28,57.74925812671193,0.0
