Date,RSI,Numerical_Signal
2015-01-29,61.6498726653706,-1.0
2015-01-30,54.087154488876365,0.0
2015-02-02,53.21603330938873,0.0
2015-02-03,54.530789738128746,0.0
2015-02-04,57.14652121194049,0.0
2015-02-05,59.31495346922187,0.0
2015-02-06,56.176268666743006,0.0
2015-02-09,51.25845862652502,0.0
2015-02-10,58.62234808758118,0.0
2015-02-11,59.827268438453984,0.0
2015-02-12,62.11177544844228,0.0
2015-02-13,62.686240626878536,0.0
2015-02-17,63.62069038505367,0.0
2015-02-18,61.64551653795961,0.0
2015-02-19,62.90690234205317,0.0
2015-02-20,64.50017376039045,0.0
2015-02-23,65.56664950981408,0.0
2015-02-24,66.01812944961334,0.0
2015-02-25,64.65802218335907,0.0
2015-02-26,79.48794261031158,0.0
2015-02-27,76.15935357064969,0.0
2015-03-02,77.03395424851942,0.0
2015-03-03,75.36124482630778,0.0
2015-03-04,76.16940881930836,0.0
2015-03-05,76.96267903978368,0.0
2015-03-06,71.21317496934171,-1.0
2015-03-09,69.63073984208596,0.0
2015-03-10,65.62046894895414,0.0
2015-03-11,64.71285944961,0.0
2015-03-12,66.28023679504258,0.0
2015-03-13,63.972254396148365,0.0
2015-03-16,68.95019295335378,0.0
2015-03-17,67.39133944705213,0.0
2015-03-18,69.05113762500565,0.0
2015-03-19,70.5286728682279,0.0
2015-03-20,71.64835691874754,0.0
2015-03-23,72.66012164755887,0.0
2015-03-24,69.63968599797924,0.0
2015-03-25,53.99418080256347,0.0
2015-03-26,54.34412816783366,0.0
2015-03-27,58.52002352353381,0.0
2015-03-30,61.042455214036636,0.0
2015-03-31,55.58241756478783,0.0
2015-04-01,53.660628197215736,0.0
2015-04-02,52.78745877726126,0.0
2015-04-06,53.843491590069895,0.0
2015-04-07,53.56151803636044,0.0
2015-04-08,55.136568894089045,0.0
2015-04-09,55.73620313148371,0.0
2015-04-10,55.01205773153226,0.0
2015-04-13,52.364635816769265,0.0
2015-04-14,49.99072302526428,0.0
2015-04-15,53.14287773839808,0.0
2015-04-16,52.110410533479055,0.0
2015-04-17,46.29587757059782,0.0
2015-04-20,48.364470978897636,0.0
2015-04-21,48.489073648245984,0.0
2015-04-22,56.1695266439506,0.0
2015-04-23,49.88541020355428,0.0
2015-04-24,43.70753977291048,0.0
2015-04-27,44.73812961433353,0.0
2015-04-28,41.404032981296574,0.0
2015-04-29,40.90200542681784,0.0
2015-04-30,40.715262069550235,0.0
2015-05-01,50.211960514228046,0.0
2015-05-04,47.958549411363144,0.0
2015-05-05,42.568640703737536,0.0
2015-05-06,42.55701238464689,0.0
2015-05-07,50.663111819911315,0.0
2015-05-08,51.73843433665897,0.0
2015-05-11,51.018113458730895,0.0
2015-05-12,51.211791597955845,0.0
2015-05-13,51.47291515683344,0.0
2015-05-14,56.67068137298207,0.0
2015-05-15,57.83785256154489,0.0
2015-05-18,60.6271502136396,0.0
2015-05-19,59.34938917172408,0.0
2015-05-20,58.68538500554808,0.0
2015-05-21,59.327787331394376,0.0
2015-05-22,63.179922038829176,0.0
2015-05-26,60.513822971054495,0.0
2015-05-27,70.52791790999429,0.0
2015-05-28,71.20329256733982,0.0
2015-05-29,75.07053437309486,0.0
2015-06-01,72.44541158601069,-1.0
2015-06-02,68.16369803494227,0.0
2015-06-03,66.30814134390829,0.0
2015-06-04,63.226816122931425,0.0
2015-06-05,65.60182090415304,0.0
2015-06-08,57.762232522245945,0.0
2015-06-09,59.331798154178635,0.0
2015-06-10,61.849442186432555,0.0
2015-06-11,60.54651741124086,0.0
2015-06-12,58.275486808084565,0.0
2015-06-15,60.97741736372442,0.0
2015-06-16,59.24524726826148,0.0
2015-06-17,57.85532370053878,0.0
2015-06-18,60.38129226113946,0.0
2015-06-19,60.19938852862438,0.0
2015-06-22,60.644488941139734,0.0
2015-06-23,57.76794139222198,0.0
2015-06-24,54.95729301922383,0.0
2015-06-25,53.73076510035346,0.0
2015-06-26,47.53717899126067,0.0
2015-06-29,43.45535801240151,0.0
2015-06-30,44.92246084134902,0.0
2015-07-01,48.84821113625907,0.0
2015-07-02,51.87259564612101,0.0
2015-07-06,47.1297196771238,0.0
2015-07-07,45.39232840569405,0.0
2015-07-08,39.90633130096612,0.0
2015-07-09,36.610303305580146,0.0
2015-07-10,44.096113337337485,0.0
2015-07-13,43.40195216121143,0.0
2015-07-14,47.53574526988444,0.0
2015-07-15,46.86202785584587,0.0
2015-07-16,50.665728652121125,0.0
2015-07-17,49.36009157905683,0.0
2015-07-20,50.62947700383807,0.0
2015-07-21,50.45177850537779,0.0
2015-07-22,44.23312547126634,0.0
2015-07-23,47.54477528682787,0.0
2015-07-24,43.53106573087567,0.0
2015-07-27,39.642498795792605,0.0
2015-07-28,44.78330542608494,0.0
2015-07-29,44.993879201687825,0.0
2015-07-30,43.96228798100186,0.0
2015-07-31,41.258998563731765,0.0
2015-08-03,42.24772813201655,0.0
2015-08-04,39.74696759410838,0.0
2015-08-05,41.75249169197731,0.0
2015-08-06,40.117742405719675,0.0
2015-08-07,39.32458810070903,0.0
2015-08-10,46.6596817791585,0.0
2015-08-11,43.08055187073204,0.0
2015-08-12,45.28094636122722,0.0
2015-08-13,43.47789176923071,0.0
2015-08-14,40.97627547516492,0.0
2015-08-17,46.20800190302529,0.0
2015-08-18,42.530377366755935,0.0
2015-08-19,41.6843062654291,0.0
2015-08-20,35.59198703725406,0.0
2015-08-21,32.76456129412324,0.0
2015-08-24,31.64196786720828,0.0
2015-08-25,30.59102161964087,0.0
2015-08-26,41.630031445755165,0.0
